Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
"Emotional storm, a whirlwind of sadness engulfs every thought.    ", EmotionalStorm ,18-07-2017 17:45, StormyFeelings  , Instagram , #EmotionalStorm #SadnessWhirlwind      ,30,60, India          ,2017,7,18,17
"Isolation deepens, an emotional winter where warmth is but a distant memory. ", Isolation ,02-04-2020 14:20, WinterOfEmotions , Instagram , #Isolation #EmotionalWinter            ,35,70, Japan       ,2020,4,2,14
"Heartache deepens, a solitary journey through the abyss of despair. ", Despair   ,18-08-2022 22:00, SolitaryDescent , Instagram , #Despair #AbyssOfHeartache             ,40,80, South Africa ,2022,8,18,22
"Emotional exhaustion, the weight of the world crushing weary shoulders. ", Exhaustion ,05-09-2021 13:30, WearySoulCrushed , Instagram , #Exhaustion #CrushedSpirit             ,35,70, Canada     ,2021,9,5,13
"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ", Desperation ,30-04-2019 14:00, WhisperedDespair , Instagram , #Desperation #GlimmerOfHope            ,22,45, France    ,2019,4,30,14
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ", Regret ,18-04-2022 11:30, RemorseWalker , Instagram , #Regret #PathOfRemorse ,25,50, Canada ,2022,4,18,11
"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ", Bitterness ,22-10-2019 17:00, PalateStainer , Instagram , #Bitterness #StainedTrust ,15,30, Germany ,2019,10,22,17
"Tears, the ink staining the pages of a journal, a testament to silent grief. ", Grief ,28-01-2023 14:30, InkJournalist , Instagram , #Grief #SilentTears ,30,60, India ,2023,1,28,14
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ", Isolation ,20-05-2022 20:30, EchoedLaughter , Instagram , #Isolation #SilentSolitude ,30,60, South Africa ,2022,5,20,20
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ", Sorrow ,15-09-2020 18:15, RiverOfSorrow , Instagram , #Sorrow #AutumnLeaves ,22,45, Canada ,2020,9,15,18
"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ", Betrayal ,05-01-2021 16:20, MazeWanderer , Instagram , #Betrayal #ClosingWalls ,15,30, Germany ,2021,1,5,16
"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ", Loss ,10-02-2023 14:30, WitheredRose , Instagram , #Loss #SilentSurrender ,28,55, France ,2023,2,10,14
"In the void of heartache, echoes of a love song play, each note a pang of longing. ", Heartache ,10-07-2022 22:15, LoveSongEcho , Instagram , #Heartache #LoveSongLonging ,30,60, Japan ,2022,7,10,22
"Betrayal, a venomous serpent slithering through the garden of trust, poisoning roots. ", Betrayal ,02-03-2021 17:45, VenomousGarden , Instagram , #Betrayal #PoisonedTrust ,25,50, Canada ,2021,3,2,17
"Swept away by the river of regret, the currents of the past refusing to release. ", Regret ,28-04-2017 16:20, RegretRiver , Instagram , #Regret #PastCurrents ,18,35, UK ,2017,4,28,16
"The echoes of solitude, a silent conversation between a soul and its shadows. ", Solitude ,15-06-2016 22:30, EchoedConversation , Instagram , #Solitude #ShadowConversation ,30,60, Spain ,2016,6,15,22
"Dancing on sunshine, each step a celebration of the joy found in simple moments. ", Joy ,20-08-2021 15:45, SunshineDancer , Instagram , #Joy #SimpleMoments ,40,80, USA ,2021,8,20,15
"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. ", Enthusiasm ,28-10-2019 14:15, DreamChaser , Instagram , #Enthusiasm #HopefulJourney ,30,60, Australia ,2019,10,28,14
"In the dance of positivity, every step is a rhythm, uplifting the soul in harmony. ", Positivity ,18-09-2016 19:45, DanceHarmony , Instagram , #Positivity #SoulUpliftment ,18,35, France ,2016,9,18,19
"In the garden of friendships, each bloom a testament to the beauty of camaraderie. ", Friendship ,28-08-2018 16:00, FriendshipGarden , Instagram , #Friendship #CamaraderieBlooms ,30,60, South Africa ,2018,8,28,16
"Surrounded by the colors of joy, a canvas painted with laughter and endless smiles. ", Joy ,02-07-2019 17:00, ColorfulLaughter , Instagram , #Joy #EndlessSmiles ,40,80, Canada ,2019,7,2,17
"Lost in the maze of curiosity, each twist and turn unveils the treasures of discovery. ", Curiosity ,22-09-2018 12:45, MazeDiscovery , Instagram , #Curiosity #TreasuresOfDiscovery ,22,45, India ,2018,9,22,12
"In the celebration of success, fireworks of accomplishment light up the night sky of triumph. ", Success ,15-11-2017 22:30, FireworksTriumph , Instagram , #Success #NightSkyTriumph ,22,45, Japan ,2017,11,15,22
"In the carnival of emotions, the rollercoaster of thrill sends the heart on a wild ride. ", Thrill ,28-03-2019 15:30, EmotionCarnival , Instagram , #Thrill #WildHeartRide ,35,70, South Africa ,2019,3,28,15
"Lost in the enchantment of Disneyland, each ride a journey into the realm of childhood fantasies. ", Enchantment ,28-09-2022 15:45, DisneylandExplorer , Instagram , #Enchantment #ChildhoodFantasies ,30,60, USA ,2022,9,28,15
"Amidst the tulip fields of Keukenhof, a tapestry of colors that paints the soul with springtime joy. ", Joy ,02-04-2021 18:20, KeukenhofAdventurer , Instagram , #Joy #SpringtimeColors ,35,70, Netherlands ,2021,4,2,18
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ", Awe ,15-06-2020 16:45, CanyonMarveler , Instagram , #Awe #EarthsGrandeur ,25,50, USA ,2020,6,15,16
"Embarking on a gondola ride in Venice, each canal reflecting the romance of this timeless city. ", Romance ,18-04-2019 16:30, VeniceRomantic , Instagram , #Romance #TimelessCity ,20,40, Italy ,2019,4,18,16
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ", Excitement ,20-07-2022 21:45, TimesSquareExplorer , Instagram , #Excitement #UrbanEnergy ,35,70, USA ,2022,7,20,21
"In the midst of the Amazon rainforest, a symphony of wildlife creates an orchestra of nature's wonders. ", Wonder ,10-06-2021 16:00, AmazonExplorer , Instagram , #Wonder #NatureOrchestra ,30,60, Brazil ,2021,6,10,16
"Exploring the ancient ruins of Angkor Wat, each stone whispering stories of Khmer civilization. ", Exploration ,22-11-2016 13:00, AngkorWatAdventurer , Instagram , #Exploration #KhmerStories ,20,40, Cambodia ,2016,11,22,13
"Cruising the fjords of Norway, each icy landscape a breathtaking masterpiece of nature's grandeur. ", Grandeur ,28-05-2018 18:30, NorwayFjordExplorer , Instagram , #Grandeur #IcyMasterpiece ,22,45, Norway ,2018,5,28,18
"At the front row of Adele's concert, each note of 'Someone Like You' resonates with soul-stirring emotion. ", Emotion ,15-09-2022 20:00, AdeleConcertGoer , Instagram , #Emotion #AdeleConcert ,40,80, USA ,2022,9,15,20
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ", Nostalgia ,02-12-2018 22:15, QueenTributeFan , Instagram , #Nostalgia #QueenTribute ,22,45, UK ,2018,12,2,22
"At a Michael Jackson tribute show, moonwalking through the hits, a celebration of the King of Pop. ", Celebration ,15-01-2022 21:15, MJTributeDancer , Instagram , #Celebration #MJTribute ,25,50, USA ,2022,1,15,21
"Experiencing the magic of a Coldplay concert, where 'Fix You' becomes a beacon of hope in the night. ", Hope ,28-11-2016 19:00, ColdplayHopeSeeker , Instagram , #Hope #ColdplayMagic ,30,60, UK ,2016,11,28,19
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ", Enthusiasm ,05-08-2018 20:00, BieberDanceEnthusiast , Instagram , #Enthusiasm #JustinBieber ,40,80, Canada ,2018,8,5,20
"Drenched in confetti at a Katy Perry concert, a kaleidoscope of colors igniting the night sky. ", Colorful ,22-06-2020 22:00, KatyPerryColorExplosion , Instagram , #Colorful #KatyPerry ,22,45, USA ,2020,6,22,22
"At a U2 concert, the anthemic chords of 'With or Without You' create a timeless moment of connection. ", Connection ,15-05-2016 19:30, U2ConnectionSeeker , Instagram , #Connection #U2Anthem ,25,50, Ireland ,2016,5,15,19
"Swaying to the reggae vibes of Bob Marley's tribute concert, each chord a journey to Jamaica's soul. ", Journey ,05-03-2020 18:45, MarleyReggaeTraveler , Instagram , #Journey #BobMarleyTribute ,30,60, Jamaica ,2020,3,5,18
"As the credits roll, a profound sense of nostalgia washes over, reminiscent of cherished moments in classic films. ", Nostalgia ,25-06-2019 22:15, FilmLoverNostalgiaSeeker , Instagram , #Nostalgia #ClassicFilmMoments ,35,70, UK ,2019,6,25,22
"Watching a heartwarming family drama, tears flow freely as the characters overcome challenges, leaving the viewer with a warm glow. ", Touched ,15-01-2021 18:00, DramaEnthusiastHeartwarmingMoments , Instagram , #Touched #FamilyDramaMoments ,28,55, India ,2021,1,15,18
"As the movie credits roll, the viewer experiences a mix of awe and contemplation, pondering the deeper meanings woven into the storyline. ", Contemplation ,05-11-2019 21:15, FilmBuffContemplativeViewer , Instagram , #Contemplation #DeepMeanings ,28,55, Germany ,2019,11,5,21
"Celebrating a historic victory in the World Cup, the nation erupts in joy, united by the triumph of their football team. ", Joy ,15-07-2018 21:30, FootballFanWorldCupCelebration , Instagram , #Joy #WorldCupTriumph ,40,80, Brazil ,2018,7,15,21
"Witnessing a record-breaking marathon, spectators are filled with awe and admiration for the endurance and dedication of the runners. ", Admiration ,07-11-2021 17:30, MarathonSpectatorRecordBreaking , Instagram , #Admiration #MarathonRecords ,22,45, Kenya ,2021,11,7,17
"At the golf tournament, the golfer's precision and focus lead to a stunning victory, leaving spectators in awe of their exceptional skill. ", Awe ,10-04-2016 18:30, GolfEnthusiastPrecisionVictory , Instagram , #Awe #GolfVictory ,22,45, Scotland ,2016,4,10,18
"Witnessing a heartwarming comeback in the hockey finals, fans share tears of joy as the team secures a historic victory after adversity. ", Heartwarming ,12-12-2020 20:00, HockeyFanComebackVictory , Instagram , #Heartwarming #HockeyFinalsComeback ,22,45, Canada ,2020,12,12,20
"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. ", Frustration ,10-07-2018 21:15, TennisEnthusiastUnexpectedSetback , Instagram , #Frustration #TennisSetback ,35,70, USA ,2018,7,10,21
"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports. ", Sympathy ,05-04-2021 20:15, GymnasticsFanRoutineFall , Instagram , #Sympathy #GymnasticsFall ,28,55, Japan ,2021,4,5,20
"Despite meticulous training, the swimmer faces disappointment as a split-second miscalculation costs them the lead in a crucial race. ", Miscalculation ,28-06-2015 20:00, SwimmingEnthusiastRaceSetback , Instagram , #Miscalculation #SwimmingDisappointment ,28,55, Australia ,2015,6,28,20
"In the serene beauty of a sunset, nature unfolds a canvas of colors, evoking a sense of tranquility and wonder. ", Tranquility ,10-07-2021 19:00, NatureEnthusiastSunsetWonder , Instagram , #Tranquility #SunsetBeauty ,40,80, Canada ,2021,7,10,19
"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. ", Creativity ,05-11-2017 21:15, ArtEnthusiastStreetArtExploration , Instagram , #Creativity #StreetArtVibes ,22,45, Brazil ,2017,11,5,21
"Embracing the aroma of freshly baked bread, the home chef finds joy in the art of baking, creating delicious memories for loved ones. ", Joy in Baking ,10-04-2023 17:15, HomeBakerDeliciousMemories , Instagram , #JoyInBaking #HomemadeDelights ,22,45, India ,2023,4,10,17
"Capturing the essence of a bustling market, the photographer freezes moments in time, each frame telling a unique and vibrant story. ", Vibrancy ,22-03-2019 21:45, PhotographyEnthusiastMarketMoments , Instagram , #Vibrancy #MarketStories ,22,45, Australia ,2019,3,22,21
"In the heart of a bustling market, the street food connoisseur indulges in a culinary adventure, savoring diverse flavors and aromas. ", Culinary Adventure ,28-08-2019 19:30, FoodieMarketStreetFoodExploration , Instagram , #CulinaryAdventure #StreetFoodDelights ,35,70, Thailand ,2019,8,28,19
"Surrounded by the vibrant colors of a flower garden, the gardener nurtures blossoms, finding joy in the beauty of nature's ever-changing canvas. ", Nature's Beauty ,15-05-2020 18:30, GardeningEnthusiastFlowerGarden , Instagram , #NaturesBeauty #FloralJoy ,28,55, Australia ,2020,5,15,18
"In the realm of fashion, the designer unveils a collection that tells a story, blending innovation and tradition on the runway of creativity. ", Runway Creativity ,10-11-2015 21:00, FashionEnthusiastDesignerShowcase , Instagram , #RunwayCreativity #FashionInnovation ,28,55, Italy ,2015,11,10,21
Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems , Boredom ,21-05-2023 21:00, MovieBuff , Instagram , #SnackCrisis #TeenLife ,18,35, Canada,2023,5,21,21
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions , Surprise ,24-05-2023 13:15, MemeCreator , Instagram , #StudyingMemes #TeenLife ,25,50, Canada,2023,5,24,13
"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ", Disgust ,27-05-2023 21:15, ChipExplorer , Instagram , #TeenChef #CookingFail ,22,45, Canada,2023,5,27,21
"Bought a new video game, played for hours, forgot to eat. The ultimate gaming session. #GamerLife #NoFoodGaming ", Excitement ,30-05-2023 20:45, GamingEnthusiast , Instagram , #GameOn #TeenGamer ,22,45, USA,2023,5,30,20
Decided to learn a new instrument. Day one: Still trying to figure out how to hold it. #MusicNovice #LearningJourney , Frustration ,02-06-2023 14:30, MusicalExplorer , Instagram , #InstrumentLearning #TeenMusic ,28,55, UK,2023,6,2,14
Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape , Excitement ,05-06-2023 10:00, AdventureSeeker , Instagram , #GetawayGoals #TeenTravel ,18,35, UK,2023,6,5,10
Embarked on a DIY home decor project. Let's hope it turns out better than last time. #DIYAdventure #TeenHomeDecor , Excitement ,08-06-2023 16:00, HomeDecorator , Instagram , #DIYGoals #TeenCreative ,35,70, UK,2023,6,8,16
Relishing a peaceful afternoon with a classic novel. Quiet moments are the best moments. #BookLover #PeacefulAfternoon , Contentment ,11-06-2023 15:30, NovelEnthusiast , Instagram , #QuietMoments #BookishEscape ,35,70, USA,2023,6,11,15
Savoring the flavors of a home-cooked meal. Simple joys are the heart of happiness. #HomeCooking #SimpleJoys , Contentment ,14-06-2023 19:30, HomeChefSenior , Instagram , #HappinessInFood #SeniorLife ,25,50, USA,2023,6,14,19
Capturing the beauty of nature through photography. Every snapshot is a treasure. #NaturePhotography #SeniorPhotographer , Joy ,17-06-2023 15:00, PhotographySenior , Instagram , #NatureCapture #SeniorMoments ,35,70, USA,2023,6,17,15
"Joined a community choir, harmonizing with fellow voices. Music creates bonds that withstand time. #CommunityChoir #HarmonyInAging ", Joy ,20-06-2023 14:20, ChoirEnthusiast , Instagram , #MusicHarmony #SeniorVoices ,20,40, USA,2023,6,20,14
"Sipping on a favorite vintage wine, each sip telling a story of the years gone by. Cheers to a life well-lived. #WineLover #VintageCheers ", Contentment ,23-06-2023 18:45, WineConnoisseur , Instagram , #LifeWellLived #SeniorWine ,28,55, UK,2023,6,23,18
"Attended a lecture on history, always fascinated by the lessons from the past. Learning is a lifelong adventure. #HistoryLecture #SeniorLearning ", Curiosity ,26-06-2023 14:00, HistoryEnthusiast , Instagram , #LifetimeAdventure #SeniorCuriosity ,30,60, UK,2023,6,26,14
"Attended a jazz concert and swayed to the rhythm of timeless tunes. Music, a constant companion in the golden years. #JazzConcert #SeniorMusic ", Joy ,29-06-2023 16:30, JazzMusicLover , Instagram , #TimelessTunes #SeniorJazz ,25,50, USA,2023,6,29,16
"Embarked on a solo travel adventure, discovering the beauty of new places at my own pace. #SoloTravel #SeniorExplorer ", Excitement ,01-07-2023 14:00, SoloAdventurer , Instagram , #DiscoverNewPlaces #SeniorTravel ,30,60, USA,2023,7,1,14
"Hosted a family dinner, where laughter echoed louder than the clinking of utensils. Family, the heart of happiness. #FamilyDinner #SeniorHost ", Contentment ,04-07-2023 17:00, FamilyHostSenior , Instagram , #HeartwarmingMoments #SeniorFamily ,35,70, USA,2023,7,4,17
"Started a book club for seniors, where discussions are as lively as the characters in the novels. #BookClub #SeniorReaders ", Joy ,07-07-2023 19:45, SeniorBookClub , Instagram , #BookishTalks #SeniorBookworms ,22,45, UK,2023,7,7,19
"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ", Excitement ,10-07-2023 14:20, SeniorHikerExplorer , Instagram , #NatureTrailBlazer #SeniorExplorer ,28,55, UK,2023,7,10,14
"Attended a wine tasting event, savoring the richness of flavors that age like fine wine. Cheers to the golden years! #WineTasting #SeniorWineLover ", Joy ,13-07-2023 20:00, SeniorWineConnoisseur , Instagram , #AgedToPerfection #SeniorCheers ,35,70, UK,2023,7,13,20
"Hosted a 'memory lane' evening with old friends, reminiscing about the adventures that shaped our lives. #MemoryLane #SeniorReminiscing ", Gratitude ,16-07-2023 14:00, SeniorMemoriesHost , Instagram , #FriendshipAdventures #SeniorNostalgia ,30,60, USA,2023,7,16,14
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ", Gratitude ,19-07-2023 19:45, WisdomBloggerSenior , Instagram , #LifeLessons #SeniorBlog ,22,45, UK,2023,7,19,19
"Survived a challenging physics exam. Equations, you won't defeat me! ", Relief ,01-08-2023 13:30, PhysicsWhizHighSchool , Instagram , #PhysicsSurvivor #HighSchoolAdventures ,20,40, USA,2023,8,1,13
"Started a photography club at school. Capturing moments, one snapshot at a time! ", Joy ,04-08-2023 16:30, PhotoClubHighSchool , Instagram , #PhotographyClub #HighSchoolPhotographer ,22,45, USA,2023,8,4,16
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ", Embarrassed ,07-08-2023 19:45, PaintSpillHighSchool , Instagram , #ArtisticMishaps #HighSchoolArt ,22,45, UK,2023,8,7,19
Spent hours perfecting a chemistry experiment. Mixing potions like a wizard! , Joy ,10-08-2023 14:20, ChemistryWizardHighSchool , Instagram , #ChemistryWizard #HighSchoolScientist ,28,55, UK,2023,8,10,14
Got my hands on the latest fantasy novel. Diving into realms of magic and adventure! , Excitement ,13-08-2023 20:00, FantasyBookNerdHighSchool , Instagram , #FantasyBookNerd #HighSchoolReader ,35,70, UK,2023,8,13,20
Sneaking snacks into class like a pro. The art of snack-smuggling is a sacred skill! , Mischievous ,16-08-2023 14:00, SnackSmugglerHighSchool , Instagram , #SnackSmuggler #HighSchoolSnacks ,30,60, USA,2023,8,16,14
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! , Embarrassed ,19-08-2023 19:45, SocialMediaBlunderHighSchool , Instagram , #SocialMediaBlunder #HighSchoolAwkward ,22,45, UK,2023,8,19,19
Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! , Joy ,21-08-2023 15:45, PaperPlaneExpertHighSchool , Instagram , #PaperPlaneExpert #HighSchoolArt ,15,30, USA,2023,8,21,15
Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! , Excitement ,24-08-2023 18:20, ScavengerHuntMasterHighSchool , Instagram , #SurpriseAdventure #HighSchoolFun ,20,38, UK,2023,8,24,18
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? , Embarrassed ,27-08-2023 20:45, MagicFailHighSchool , Instagram , #MagicFail #HighSchoolMagic ,22,45, UK,2023,8,27,20
Attempting to set a new record for the most consecutive hacky sack kicks. Hacky sack skills: Unleashed! , Excitement ,29-08-2023 13:45, HackySackChampionHighSchool , Instagram , #HackySackChallenge #HighSchoolAthlete ,26,48, Canada,2023,8,29,13
Practicing a stand-up comedy routine for the upcoming talent show. Comedy gig: In the making! , Joy ,01-09-2023 14:45, ComedyGeniusHighSchool , Instagram , #StandUpComedy #HighSchoolTalent ,21,39, Canada,2023,9,1,14
Crafting intricate friendship bracelets for the whole squad. Friendship level: Expert weaver! , Joy ,04-09-2023 15:15, BraceletCraftsmanHighSchool , Instagram , #FriendshipBracelets #HighSchoolCrafts ,19,37, USA,2023,9,4,15
Experimenting with a new hair color. A bold change for a bold semester! , Excitement ,07-09-2023 18:20, HairColorExperimentHighSchool , Instagram , #HairExperiment #HighSchoolStyle ,20,39, USA,2023,9,7,18
Trying out a new smoothie recipe for a healthy start to the week. Smoothie enthusiast: Level up! , Excitement ,10-09-2023 20:45, SmoothieConnoisseurHighSchool , Instagram , #HealthyLiving #HighSchoolWellness ,23,42, UK,2023,9,10,20
Encountered some mean-spirited comments online. Dealing with online hate is never easy. , Hate ,12-09-2023 12:30, DealingWithHateHighSchool , Instagram , #OnlineHate #HighSchoolReality ,18,36, Canada,2023,9,12,12
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. , Hate ,15-09-2023 14:15, CafeteriaConflictHighSchool , Instagram , #CafeteriaDrama #HighSchoolTension ,21,41, Canada,2023,9,15,14
Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. , Sad ,18-09-2023 22:00, LonelySaturdayHighSchool , Instagram , #LonelyNights #HighSchoolEmotions ,16,31, Canada,2023,9,18,22
Missing an important event due to unforeseen circumstances. A day filled with sadness. , Sad ,21-09-2023 16:45, MissedOpportunityHighSchool , Instagram , #MissedChances #HighSchoolRegret ,20,39, Canada,2023,9,21,16
Feeling a sense of emptiness after a close friend moves away. Farewells are always sad. , Sad ,24-09-2023 17:30, FriendMovingAwayHighSchool , Instagram , #SayingGoodbye #HighSchoolEmotions ,21,42, Canada,2023,9,24,17
Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. , Bad ,27-09-2023 17:30, BadHairDayBluesHighSchool , Instagram , #BadHairDay #HighSchoolConfidence ,18,36, Canada,2023,9,27,17
Having a string of bad luck with constant technology malfunctions. Tech troubles galore! , Bad ,30-09-2023 18:20, TechMalfunctionWoesHighSchool , Instagram , #TechIssues #HighSchoolTech ,22,43, Canada,2023,9,30,18
Trying out a new study technique for upcoming exams. Exploring different learning strategies. , Neutral ,02-10-2023 16:45, StudyTechniqueExperimentHighSchool , Instagram , #StudyStrategies #HighSchoolExams ,23,42, USA,2023,10,2,16
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. , Neutral ,05-10-2023 14:15, BakeSaleRecipeExperimentHighSchool , Instagram , #BakingAdventures #HighSchoolBakes ,21,43, USA,2023,10,5,14
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. , Neutral ,07-10-2023 20:45, ExtracurricularExplorationHighSchool , Instagram , #SchoolClubs #HighSchoolInterests ,22,45, UK,2023,10,7,20
Exploring a new hobby of photography during free time. Capturing moments through a lens. , Neutral ,10-10-2023 14:15, PhotographyHobbyHighSchool , Instagram , #PhotographyJourney #HighSchoolHobbies ,25,49, UK,2023,10,10,14
Volunteering at a local charity event to give back to the community. Contributing to social causes. , Neutral ,13-10-2023 12:30, CharityEventVolunteerHighSchool , Instagram , #CommunityService #HighSchoolVolunteer ,20,39, UK,2023,10,13,12
Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around! , Happy ,16-10-2023 15:45, BirthdaySurpriseHighSchool , Instagram , #SurpriseParty #HighSchoolCelebration ,27,52, UK,2023,10,16,15
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ", Happy ,19-10-2023 18:20, WeekendHikeHighSchool , Instagram , #NatureAdventures #HighSchoolFriends ,21,42, UK,2023,10,19,18
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! , Happy ,22-10-2023 20:45, MuralCreationHighSchool , Instagram , #ArtCollaboration #HighSchoolCreativity ,22,43, UK,2023,10,22,20
Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! , Happy ,10-11-2015 16:45, ArtExhibitionJoyHighSchool , Instagram , #ArtisticExpression #HighSchoolCreativity ,23,44, USA,2015,11,10,16
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ", Happy ,22-06-2018 14:15, BirthdayPartyJoyHighSchool , Instagram , #SurpriseCelebration #HighSchoolFriendship ,25,48, USA,2018,6,22,14
"Organizing a virtual talent show during challenging times, bringing smiles to classmates' faces! ", Happy ,15-11-2020 15:15, VirtualTalentShowSuccessHighSchool , Instagram , #VirtualEntertainment #HighSchoolPositivity ,24,47, USA,2020,11,15,15
